id,picture,artist,hottest,streams_b,followers_mio,listeners_mio,scoring
377,,Neha Kakkar,72,1.55,42.43,14.10,12
378,,Jeremih,72,4.31,6.55,12.59,12
379,,Chase Atlantic,78,3.80,5.56,13.16,12
380,,Macklemore & Ryan Lewis,72,5.04,2.65,22.69,12
381,,Jesse & Joy,73,3.56,8.10,13.35,12
382,,Journey,72,3.71,5.19,18.20,12
383,,George Ezra,72,4.53,4.12,16.55,12
384,,Soda Stereo,73,3.76,8.15,10.48,12
385,,Nelly Furtado,75,3.36,3.55,25.38,12
386,,The Strokes,74,4.70,5.19,12.93,12
387,,Mitski,77,3.90,5.01,11.39,12
388,,Julia Michaels,72,3.77,5.08,18.81,12
389,,6LACK,72,4.88,4.46,14.98,12
390,,Marvin Gaye,72,3.87,5.15,20.09,12
391,,Ricky Martin,71,4.00,7.60,15.32,12
392,,Tainy,80,4.13,1.68,28.95,12
393,,El Alfa,77,3.94,3.09,22.73,12
394,,H.E.R.,73,4.26,6.75,11.04,12
395,,Armin van Buuren,72,4.50,4.34,14.71,12
396,,Charli XCX,76,3.79,2.97,23.19,12
397,,Train,71,4.30,4.36,18.11,12
398,,Luan Santana,76,3.39,7.47,11.65,12
399,,Jason Aldean,73,4.66,6.35,9.66,12
400,,Ice Cube,73,3.20,7.34,16.11,12
401,,Badshah,73,1.89,25.03,15.82,12
402,,Disney,80,9.91,0.39,23.40,12
403,,Juan Gabriel,74,3.79,8.18,9.95,12
404,,Carlos Vives,72,3.84,6.13,14.86,12
405,,The Cure,74,3.82,4.78,16.90,12
406,,Johnny Cash,72,4.77,6.04,11.46,12
407,,Five Finger Death Punch,72,5.39,6.21,6.88,11
408,,Galantis,69,5.08,3.39,13.83,11
409,,Alfredo Olivas,78,3.22,6.51,10.03,11
410,,Carly Rae Jepsen,72,3.53,5.25,17.77,11
411,,Bryan Adams,73,4.15,3.27,19.76,11
412,,Plan B,77,3.24,3.38,20.30,11
413,,Offset,77,3.54,2.91,20.11,11
414,,Tom Odell,74,3.55,3.42,23.31,11
415,,Tiago PZK,78,3.01,3.94,19.91,11
416,,Luísa Sonza,80,2.84,4.78,13.39,11
417,,LUDMILLA,75,2.57,6.65,16.36,11
418,,Bryant Myers,76,2.79,9.63,9.20,11
419,,Three Days Grace,72,4.57,5.82,10.22,11
420,,Steve Aoki,71,4.17,3.79,16.82,11
421,,De La Ghetto,75,2.59,7.22,17.21,11
422,,Sfera Ebbasta,78,3.49,5.69,9.29,11
423,,Pablo Alborán,72,4.07,5.01,12.93,11
424,,Nio Garcia,69,4.58,5.23,12.63,11
425,,The Doors,71,3.53,7.42,11.21,11
426,,Thomas Rhett,71,4.80,4.64,10.13,11
427,,The Smiths,75,3.54,4.45,12.99,11
428,,Rick Ross,74,2.95,7.05,12.25,11
429,,Anderson .Paak,76,3.79,2.39,20.16,11
430,,Chance the Rapper,72,4.20,5.93,10.54,11
431,,Santa Fe Klan,75,2.99,8.38,11.59,11
432,,Depeche Mode,73,3.61,5.77,13.34,11
433,,Black Sabbath,71,3.10,7.20,14.88,11
434,,Hans Zimmer,74,4.99,3.49,10.14,11
435,,R3HAB,75,4.02,2.52,22.87,11
436,,2 Chainz,74,3.57,8.03,10.31,11
437,,Dean Lewis,73,4.33,2.72,17.21,11
438,,Nelly,73,4.21,2.51,18.90,11
439,,Rod Wave,77,3.87,5.41,7.56,11
440,,Korn,74,3.82,6.64,10.45,11
441,,Juanes,74,3.05,4.53,18.41,11
442,,Jay Wheeler,75,3.64,3.36,18.98,11
443,,Felix Jaehn,73,5.83,1.30,21.16,11
444,,Iron Maiden,71,3.72,8.55,8.12,11
445,,Atif Aslam,74,1.89,17.48,16.97,11
446,,"Earth, Wind & Fire",71,3.26,4.03,17.84,10
447,,Clairo,74,3.14,4.11,14.70,10
448,,Giveon,76,2.90,3.15,23.20,10
449,,R.E.M.,72,3.34,4.18,17.91,10
