id,track_name,artist,duration_ms,popularity,release_date,year
343,Young Folks,Peter Bjorn and John,276693,78,2006-01-01,2006
344,Never Too Late,Three Days Grace,209333,71,2006-06-25,2006
345,Your Man,Josh Turner,211893,75,2006-01-01,2006
346,Tim McGraw,Taylor Swift,232106,69,2006-10-24,2006
347,The Power Of Love,Huey Lewis & The News,234333,77,2006-01-01,2006
348,Salió El Sol,Don Omar,315293,80,2006-01-01,2006
349,Who Knew,P!nk,208493,76,2006-04-04,2006
350,Slow Dancing in a Burning Room,John Mayer,242000,75,2006-09-11,2006
351,Flashing Lights,"Kanye West, Dwele",237506,88,2007-09-11,2007
352,505,Arctic Monkeys,253586,82,2007-04-24,2007
353,I Wonder,Kanye West,243440,87,2007-09-11,2007
354,Misery Business,Paramore,211520,78,2007-06-11,2007
355,Homecoming,"Kanye West, Chris Martin",203493,83,2007-09-11,2007
356,Stronger,Kanye West,311866,84,2007-09-11,2007
357,Can't Tell Me Nothing,Kanye West,271600,82,2007-09-11,2007
358,Thnks fr th Mmrs,Fall Out Boy,203506,81,2007-01-01,2007
359,The Way I Are,"Timbaland, Keri Hilson, D.O.E.",179120,84,2007-01-01,2007
360,Paralyzer,Finger Eleven,208106,77,2007-01-01,2007
361,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"T-Pain, Yung Joc",227960,78,2007-06-05,2007
362,Fake It,Seether,193893,77,2007-01-01,2007
363,Electric Feel,MGMT,229640,79,2007-12-14,2007
364,"Dear Maria, Count Me In",All Time Low,182826,78,2007-09-25,2007
365,Paper Planes,M.I.A.,205200,80,2007-08-20,2007
366,Umbrella,"Rihanna, JAY-Z",275986,74,2007-01-01,2007
367,Good Life,"Kanye West, T-Pain",207000,78,2007-09-11,2007
368,Beautiful Girls,Sean Kingston,225373,80,2007-07-23,2007
369,Bleed It Out,Linkin Park,166373,80,2007-05-14,2007
370,What I've Done,Linkin Park,205613,82,2007-05-14,2007
371,Fluorescent Adolescent,Arctic Monkeys,173493,73,2007-04-24,2007
372,You,"Lloyd, Lil Wayne",273133,75,2007-01-01,2007
373,Crank That (Soulja Boy),Soulja Boy,221933,77,2007-01-01,2007
374,The Pretender,Foo Fighters,269373,81,2007-09-25,2007
375,Gimme More,Britney Spears,251240,82,2007-10-25,2007
376,All Summer Long,Kid Rock,297586,76,2007-10-09,2007
377,Kids,MGMT,302840,79,2007-12-14,2007
378,Bartender (feat. Akon),"T-Pain, Akon",238800,75,2007-06-05,2007
379,Don't Stop The Music,Rihanna,267080,71,2007-01-01,2007
380,Everything I Am,"Kanye West, DJ Premier",227893,75,2007-09-11,2007
381,Apologize,OneRepublic,208106,72,2007-01-01,2007
382,That's What You Get,Paramore,220480,70,2007-06-11,2007
383,Champion,Kanye West,167600,75,2007-09-11,2007
384,Valerie (feat. Amy Winehouse) - Version Revisited,"Mark Ronson, Amy Winehouse",219413,79,2007-04-16,2007
385,Good Morning,Kanye West,195093,75,2007-09-11,2007
386,Verbatim,Mother Mother,168320,77,2007-05-08,2007
